Company Name,Symbol
Oil and Natural Gas Corporation (ONGC),ONGC.NS
Hindalco Industries Limited,HINDALCO.NS
Reliance Industries Limited,RELIANCE.NS
Nestle India Limited,NESTLEIND.NS
Bajaj Auto Limited,BAJAJ-AUTO.NS
NTPC Limited,NTPC.NS
JSW Steel Limited,JSWSTEEL.NS
Maruti Suzuki India Limited,MARUTI.NS
Eicher Motors Limited,EICHERMOT.NS
Titan Company Limited,TITAN.NS
Power Grid Corporation of India Limited,POWERGRID.NS
Kotak Mahindra Bank Limited,KOTAKBANK.NS
Tata Consultancy Services Limited (TCS),TCS.NS
Bharti Airtel Limited,BHARTIARTL.NS
Sun Pharmaceutical Industries Limited,SUNPHARMA.NS
Asian Paints Limited,ASIANPAINT.NS
Grasim Industries Limited,GRASIM.NS
Coal India Limited,COALINDIA.NS
IndusInd Bank Limited,INDUSINDBK.NS
Cipla Limited,CIPLA.NS
HDFC Bank Limited,HDFCBANK.NS
State Bank of India (SBI),SBIN.NS
Mahindra & Mahindra Limited (M&M),M&M.NS
Bajaj Finance Limited,BAJFINANCE.NS
Britannia Industries Limited,BRITANNIA.NS
UltraTech Cement Limited,ULTRACEMCO.NS
ITC Limited,ITC.NS
Divi's Laboratories Limited,DIVISLAB.NS
Bajaj Finserv Limited,BAJAJFINSV.NS
Axis Bank Limited,AXISBANK.NS
Dr. Reddy's Laboratories Limited,DRREDDY.NS
Tata Steel Limited,TATASTEEL.NS
Infosys Limited,INFY.NS
Larsen & Toubro Limited (LT),LT.NS
Hero MotoCorp Limited,HEROMOTOCO.NS
HDFC Life Insurance Company Limited,HDFCLIFE.NS
Larsen & Toubro Infotech Limited (LTI),LTIM.NS
Wipro Limited,WIPRO.NS
HCL Technologies Limited,HCLTECH.NS
Bharat Petroleum Corporation Limited (BPCL),BPCL.NS
Apollo Hospitals Enterprise Limited,APOLLOHOSP.NS
SBI Life Insurance Company Limited,SBILIFE.NS
Tech Mahindra Limited,TECHM.NS
Tata Motors Limited,TATAMOTORS.NS
Hindustan Unilever Limited (HUL),HINDUNILVR.NS
Adani Ports and Special Economic Zone Limited,ADANIPORTS.NS
ICICI Bank Limited,ICICIBANK.NS
Adani Enterprises Limited,ADANIENT.NS
Tata Consumer Products Limited,TATACONSUM.NS
Shriram Finance Limited,SHRIRAMFIN.NS